time, Quad.Est.E.Pos, Quad.Est.S.Z
2.280017,0.135406,0.393609
2.285017,0.135564,0.394117
2.290016,0.135664,0.394463
2.295016,0.135813,0.394997
2.300016,0.135960,0.395362
2.305015,0.140044,0.392240
2.310015,0.140297,0.392467
2.315015,0.140294,0.392817
2.320014,0.140293,0.393057
2.325014,0.140264,0.393425
2.330014,0.140251,0.393677
2.335013,0.140229,0.394065
2.340013,0.140203,0.394330
2.345012,0.140167,0.394739
2.350012,0.140086,0.395018
2.355012,0.140001,0.395449
2.360011,0.139992,0.395743
2.365011,0.139916,0.396196
2.370011,0.139832,0.396506
2.375010,0.139728,0.396984
2.380010,0.139720,0.397310
2.385010,0.139641,0.397813
2.390009,0.139708,0.398156
2.395009,0.139706,0.398685
2.400008,0.139671,0.399046
2.405008,0.158194,0.395953
2.410008,0.158833,0.396179
2.415007,0.159786,0.396525
2.420007,0.160454,0.396762
2.425007,0.161409,0.397127
2.430006,0.162062,0.397377
2.435006,0.163059,0.397761
2.440006,0.163726,0.398024
2.445005,0.164743,0.398429
2.450005,0.165376,0.398706
2.455004,0.166378,0.399132
2.460004,0.167079,0.399424
2.465004,0.168104,0.399873
2.470003,0.168796,0.400180
2.475003,0.169836,0.400653
2.480003,0.170533,0.400977
2.485002,0.171586,0.401474
2.490002,0.172273,0.401815
2.495002,0.173327,0.402339
2.500001,0.174040,0.402697
2.505001,0.160372,0.399632
2.510000,0.160995,0.399855
2.515000,0.161824,0.400199
2.520000,0.162358,0.400434
2.524999,0.163204,0.400795
2.529999,0.163764,0.401043
2.534999,0.164602,0.401423
2.539998,0.165180,0.401684
2.544998,0.166036,0.402085
2.549998,0.166601,0.402359
2.554997,0.167460,0.402782
2.559997,0.168034,0.403071
2.564996,0.168898,0.403516
2.569996,0.169465,0.403820
2.574996,0.170328,0.404289
2.579995,0.170933,0.404610
2.584995,0.171814,0.405103
2.589995,0.172395,0.405440
2.594994,0.173281,0.405960
2.599994,0.173867,0.406315
2.604994,0.169920,0.403277
2.609993,0.170324,0.403498
2.614993,0.170956,0.403839
2.619992,0.171380,0.404072
2.624992,0.172012,0.404430
2.629992,0.172436,0.404675
2.634991,0.173075,0.405052
2.639991,0.173505,0.405311
2.644991,0.174152,0.405708
2.649990,0.174563,0.405980
2.654990,0.175199,0.406399
2.659990,0.175644,0.406685
2.664989,0.176292,0.407126
2.669989,0.176712,0.407428
2.674989,0.177357,0.407892
2.679988,0.177789,0.408210
2.684988,0.178436,0.408699
2.689987,0.178867,0.409034
2.694987,0.179515,0.409548
2.699987,0.179941,0.409900
2.704986,0.158565,0.406889
2.709986,0.158648,0.407109
2.714986,0.158780,0.407446
2.719985,0.158867,0.407677
2.724985,0.158999,0.408032
2.729985,0.159089,0.408275
2.734984,0.159225,0.408649
2.739984,0.159315,0.408905
2.744983,0.159453,0.409299
2.749983,0.159540,0.409568
2.754983,0.159675,0.409983
2.759982,0.159766,0.410267
2.764982,0.159902,0.410705
2.769982,0.159988,0.411004
2.774981,0.160119,0.411464
2.779981,0.160214,0.411779
2.784981,0.160350,0.412264
2.789980,0.160453,0.412596
2.794980,0.160596,0.413106
2.799979,0.160683,0.413455
2.804979,0.192977,0.410469
2.809979,0.193750,0.410687
2.814978,0.194886,0.411021
2.819978,0.195639,0.411250
2.824978,0.196781,0.411602
2.829977,0.197542,0.411843
2.834977,0.198685,0.412214
2.839977,0.199445,0.412468
2.844976,0.200588,0.412858
2.849976,0.201356,0.413125
2.854975,0.202504,0.413537
2.859975,0.203271,0.413818
2.864975,0.204421,0.414252
2.869974,0.205188,0.414548
2.874974,0.206341,0.415005
2.879974,0.207110,0.415317
2.884973,0.208266,0.415798
2.889973,0.209040,0.416127
2.894973,0.210200,0.416633
2.899972,0.210972,0.416979
2.904972,0.164097,0.414019
2.909971,0.164035,0.414234
2.914971,0.163926,0.414566
2.919971,0.163851,0.414793
2.924970,0.163742,0.415142
2.929970,0.163671,0.415381
2.934970,0.163564,0.415748
2.939969,0.163493,0.416000
2.944969,0.163388,0.416387
2.949969,0.163323,0.416652
2.954968,0.163222,0.417060
2.959968,0.163153,0.417339
2.964967,0.163055,0.417769
2.969967,0.162989,0.418063
2.974967,0.162891,0.418516
2.979966,0.162825,0.418825
2.984966,0.162728,0.419302
2.989966,0.162663,0.419628
2.994965,0.162565,0.420130
2.999965,0.162503,0.420473
3.004965,0.143424,0.417538
3.009964,0.142767,0.417751
3.014964,0.141786,0.418080
3.019964,0.141135,0.418305
3.024963,0.140173,0.418651
3.029963,0.139537,0.418888
3.034962,0.138592,0.419253
3.039962,0.137969,0.419502
3.044962,0.137043,0.419886
3.049961,0.136433,0.420149
3.054961,0.135528,0.420553
3.059961,0.134930,0.420830
3.064960,0.134046,0.421256
3.069960,0.133465,0.421548
3.074960,0.132604,0.421997
3.079959,0.132037,0.422304
3.084959,0.131198,0.422777
3.089958,0.130646,0.423100
3.094958,0.129829,0.423598
3.099958,0.129293,0.423938
3.104957,0.110356,0.421027
3.109957,0.109742,0.421239
3.114957,0.108881,0.421565
3.119956,0.108329,0.421788
3.124956,0.107543,0.422131
3.129956,0.107040,0.422366
3.134955,0.106324,0.422728
3.139955,0.105865,0.422975
3.144954,0.105217,0.423356
3.149954,0.104809,0.423617
3.154954,0.104233,0.424018
3.159953,0.103848,0.424293
3.164953,0.103325,0.424715
3.169953,0.102974,0.425005
3.174952,0.102495,0.425450
3.179952,0.102224,0.425755
